EC,K,N,P,PH,SensorID,soil_type
218.0,53.0,15.0,21.0,442.0,1,89011_20ml
49.0,9.0,3.0,4.0,700.0,2,89011_20ml
48.0,9.0,3.0,4.0,900.0,3,89011_20ml
232.0,53.0,15.0,21.0,447.0,1,89012_20ml
77.0,15.0,5.0,7.0,711.0,2,89012_20ml
65.0,13.0,4.0,6.0,813.0,3,89012_20ml
222.0,50.0,14.0,20.0,452.0,1,89013_20ml
92.0,18.0,6.0,9.0,700.0,2,89013_20ml
21.0,4.0,1.0,2.0,803.0,3,89013_20ml
211.0,49.0,14.0,19.0,510.0,1,89014_20ml
43.0,8.0,3.0,4.0,700.0,2,89014_20ml
34.0,6.0,2.0,3.0,838.5,3,89014_20ml
110.0,36.0,10.0,14.0,518.0,1,89015_20ml
8.0,1.0,0.0,0.0,774.5,2,89015_20ml
6.0,1.0,0.0,0.0,900.0,3,89015_20ml
880.0,156.0,45.0,63.0,526.0,1,bbsa_75ml
884.5,176.0,62.5,87.5,881.5,2,bbsa_75ml
808.0,161.0,57.0,80.0,900.0,3,bbsa_75ml
273.0,61.0,18.0,24.0,447.0,1,town_70ml
236.0,47.0,16.0,23.0,817.0,2,town_70ml
215.5,43.0,15.0,21.0,700.0,3,town_70ml
1.0,3.0,2,1,2,Lab(Rating),89011_20ml
0.03,146.12,0.18,1.73,5.27,Lab(Value),89011_20ml
,,,,,4,89011_20ml
,,,,4.98,phProbe,89011_20ml
1.0,2.0,1,5,2,Lab(Rating),89015_20ml
0.01,58.38,0.06,88.69,5.03,Lab(Value),89015_20ml
,1,0,0,6.52,4,89015_20ml
,,,,5.45,phProbe,89015_20ml
,,2,5,3,Lab(Rating),bbsa_75ml
,,276,346.5,6.47,Lab(Value),bbsa_75ml
,232,81,114,6.52,4,bbsa_75ml
,,,,8.8,phProbe,bbsa_75ml
,,2,5,2,Lab(Rating),town_70ml
,,233,396.3,5.42,Lab(Value),town_70ml
,68,24,34,6.79,4,town_70ml
,,,,7.45,phProbe,town_70ml
1.0,2.0,2,2,2,Lab(Rating),89012_20ml
0.02,96.13,0.12,12.33,5.03,Lab(Value),89012_20ml
,6.49,7,15,5,4,89012_20ml
,,,,5.12,phProbe,89012_20ml
1.0,2.0,2,2,2,Lab(Rating),89013_20ml
0.03,47.9,0.16,6.85,5.08,Lab(Value),89013_20ml
,4,1,2,6.49,4,89013_20ml
,,,,4.82,phProbe,89013_20ml
1.0,2.0,2,3,1,Lab(Rating),89014_20ml
0.02,52.6,0.12,29.97,4.95,Lab(Value),89014_20ml
38,7,2,3,6.47,4,89014_20ml
,,,,5.08,phProbe,89014_20ml
,,,,,,
,,,,,,
,,,,,,
,,,,,,
