soil_type,SensorID,PH,N,P,K,EC
89011_20ml,Lab(Rating),L,L,vL,M,vL
89011_20ml,Lab(Value),5.27,0.18,1.73,146.12,0.03
89011_20ml,4,,,,,
89011_20ml,phProbe,4.98,,,,
89015_20ml,Lab(Rating),L,vL,vH,L,vL
89015_20ml,Lab(Value),5.03,0.06,88.69,58.38,0.01
89015_20ml,4,6.52,0,0,1,
89015_20ml,phProbe,5.45,,,,
bbsa_75ml,Lab(Rating),M,L,vH,,
bbsa_75ml,Lab(Value),6.47,276,346.5,,
bbsa_75ml,4,6.52,81,114,232,
bbsa_75ml,phProbe,8.8,,,,
town_70ml,Lab(Rating),L,L,vH,,
town_70ml,Lab(Value),5.42,233,396.3,,
town_70ml,4,6.79,24,34,68,
town_70ml,phProbe,7.45,,,,
89012_20ml,Lab(Rating),L,L,L,L,vL
89012_20ml,Lab(Value),5.03,0.12,12.33,96.13,0.02
89012_20ml,4,5,7,15,6.49,
89012_20ml,phProbe,5.12,,,,
89013_20ml,Lab(Rating),L,L,L,L,vL
89013_20ml,Lab(Value),5.08,0.16,6.85,47.9,0.03
89013_20ml,4,6.49,1,2,4,
89013_20ml,phProbe,4.82,,,,
89014_20ml,Lab(Rating),vL,L,M,L,vL
89014_20ml,Lab(Value),4.95,0.12,29.97,52.6,0.02
89014_20ml,4,6.47,2,3,7,38
89014_20ml,phProbe,5.08,,,,
