Timestamp,SensorID,Temp,Humid,PH,EC,N,P,K,DateTime,Latitude,Longitude,Satellites,HDOP
11774,1,249,0,788,0,0,0,0,Invalid,Invalid,Invalid,0,0
13706,1,250,0,788,0,0,0,0,Invalid,Invalid,Invalid,0,0
16292,1,249,0,807,0,0,0,0,Invalid,Invalid,Invalid,0,0
18987,1,249,0,807,0,0,0,0,Invalid,Invalid,Invalid,0,0
20987,1,249,0,802,0,0,0,0,Invalid,Invalid,Invalid,0,0
23480,1,249,0,802,0,0,0,0,Invalid,Invalid,Invalid,0,0
25480,1,249,0,802,0,0,0,0,Invalid,Invalid,Invalid,0,0
43341,2,230,0,700,0,0,0,0,Invalid,Invalid,Invalid,0,0
45341,2,230,0,700,0,0,0,0,Invalid,Invalid,Invalid,0,0
47866,2,230,0,700,0,0,0,0,Invalid,Invalid,Invalid,0,0
50531,2,230,0,700,0,0,0,0,Invalid,Invalid,Invalid,0,0
52531,2,230,0,700,0,0,0,0,Invalid,Invalid,Invalid,0,0
55043,2,230,0,700,0,0,0,0,Invalid,Invalid,Invalid,0,0
74203,3,228,0,700,0,0,0,0,Invalid,Invalid,Invalid,0,0
76203,3,228,0,700,0,0,0,0,Invalid,Invalid,Invalid,0,0
78715,3,228,0,700,0,0,0,0,Invalid,Invalid,Invalid,0,0
80715,3,228,0,700,0,0,0,0,Invalid,Invalid,Invalid,0,0
83210,3,228,0,700,0,0,0,0,Invalid,Invalid,Invalid,0,0
85210,3,228,0,700,0,0,0,0,Invalid,Invalid,Invalid,0,0
87716,3,228,0,700,0,0,0,0,Invalid,Invalid,Invalid,0,0
