Timestamp,SensorID,Temp,Humid,PH,EC,N,P,K,DateTime,Latitude,Longitude,Satellites,HDOP
20549,1,247,1000,648,0,0,0,0,Invalid,Invalid,Invalid,0,0
22549,1,247,1000,440,0,0,0,0,Invalid,Invalid,Invalid,0,0
25056,1,247,1000,440,0,0,0,0,Invalid,Invalid,Invalid,0,0
27056,1,247,1000,438,0,0,0,0,Invalid,Invalid,Invalid,0,0
30537,1,247,1000,438,0,0,0,0,Invalid,Invalid,Invalid,0,0
32489,1,247,1000,457,0,0,0,0,Invalid,Invalid,Invalid,0,0
37882,1,-1,1000,457,0,0,0,0,Invalid,Invalid,Invalid,0,0
38586,1,246,1000,452,0,0,0,0,Invalid,Invalid,Invalid,0,0
40511,1,246,1000,452,0,0,0,0,Invalid,Invalid,Invalid,0,0
43091,1,246,1000,452,0,0,0,0,Invalid,Invalid,Invalid,0,0
54095,2,226,0,700,0,0,0,0,Invalid,Invalid,Invalid,0,0
56601,2,226,0,700,0,0,0,0,Invalid,Invalid,Invalid,0,0
58601,2,226,0,700,0,0,0,0,Invalid,Invalid,Invalid,0,0
61101,2,226,0,700,0,0,0,0,Invalid,Invalid,Invalid,0,0
63101,2,226,0,700,0,0,0,0,Invalid,Invalid,Invalid,0,0
79131,3,206,0,700,0,0,0,0,Invalid,Invalid,Invalid,0,0
81802,3,206,0,700,0,0,0,0,Invalid,Invalid,Invalid,0,0
83802,3,206,0,700,0,0,0,0,Invalid,Invalid,Invalid,0,0
87302,3,206,0,700,0,0,0,0,Invalid,Invalid,Invalid,0,0
89216,3,206,0,700,0,0,0,0,Invalid,Invalid,Invalid,0,0
