Timestamp,SensorID,Temp,Humid,PH,EC,N,P,K,DateTime,Latitude,Longitude,Satellites,HDOP
16560,1,227,1000,452,0,0,0,0,Invalid,Invalid,Invalid,0,0
22084,1,-1,1000,447,0,0,0,0,Invalid,Invalid,Invalid,0,0
22791,1,225,1000,447,0,0,0,0,Invalid,Invalid,Invalid,0,0
24608,1,225,1000,442,0,0,0,0,Invalid,Invalid,Invalid,0,0
27286,1,225,1000,442,0,0,0,0,Invalid,Invalid,Invalid,0,0
29286,1,225,1000,442,0,0,0,0,Invalid,Invalid,Invalid,0,0
31795,1,224,1000,437,0,0,0,0,Invalid,Invalid,Invalid,0,0
35356,1,224,1000,437,0,0,0,0,Invalid,Invalid,Invalid,0,0
37168,1,224,1000,438,0,0,0,0,Invalid,Invalid,Invalid,0,0
39168,1,224,1000,438,0,0,0,0,Invalid,Invalid,Invalid,0,0
66276,2,200,1000,900,0,0,0,0,Invalid,Invalid,Invalid,0,0
68782,2,200,1000,900,0,0,0,0,Invalid,Invalid,Invalid,0,0
70782,2,200,1000,900,0,0,0,0,Invalid,Invalid,Invalid,0,0
75042,2,200,1000,900,0,0,0,0,Invalid,Invalid,Invalid,0,0
76851,2,200,1000,900,0,0,0,0,Invalid,Invalid,Invalid,0,0
78851,2,200,1000,900,0,0,0,0,Invalid,Invalid,Invalid,0,0
81351,2,200,1000,900,0,0,0,0,Invalid,Invalid,Invalid,0,0
83351,2,200,1000,876,0,0,0,0,Invalid,Invalid,Invalid,0,0
85854,2,200,1000,740,0,0,0,0,Invalid,Invalid,Invalid,0,0
109508,3,198,1000,700,0,0,0,0,Invalid,Invalid,Invalid,0,0
113974,3,198,1000,700,0,0,0,0,Invalid,Invalid,Invalid,0,0
115643,3,198,1000,700,0,0,0,0,Invalid,Invalid,Invalid,0,0
117643,3,198,1000,700,0,0,0,0,Invalid,Invalid,Invalid,0,0
120140,3,198,1000,700,0,0,0,0,Invalid,Invalid,Invalid,0,0
