Timestamp,SensorID,Temp,Humid,PH,EC,N,P,K,DateTime,Latitude,Longitude,Satellites,HDOP
8292,1,214,0,442,0,0,0,0,Invalid,Invalid,Invalid,0,0
10803,1,214,0,437,0,0,0,0,Invalid,Invalid,Invalid,0,0
12803,1,214,0,437,0,0,0,0,Invalid,Invalid,Invalid,0,0
15304,1,214,0,437,0,0,0,0,Invalid,Invalid,Invalid,0,0
17304,1,214,0,438,0,0,0,0,Invalid,Invalid,Invalid,0,0
19800,1,214,0,438,0,0,0,0,Invalid,Invalid,Invalid,0,0
21800,1,214,0,457,0,0,0,0,Invalid,Invalid,Invalid,0,0
24307,1,214,0,457,0,0,0,0,Invalid,Invalid,Invalid,0,0
35311,2,192,106,700,0,0,0,0,Invalid,Invalid,Invalid,0,0
37806,2,192,105,700,0,0,0,0,Invalid,Invalid,Invalid,0,0
39806,2,192,103,700,0,0,0,0,Invalid,Invalid,Invalid,0,0
42313,2,192,103,711,0,0,0,0,Invalid,Invalid,Invalid,0,0
44313,2,192,104,768,0,0,0,0,Invalid,Invalid,Invalid,0,0
46819,2,192,105,790,0,0,0,0,Invalid,Invalid,Invalid,0,0
48819,2,192,104,796,0,0,0,0,Invalid,Invalid,Invalid,0,0
51313,2,192,105,725,0,0,0,0,Invalid,Invalid,Invalid,0,0
76621,3,190,122,840,0,0,0,0,Invalid,Invalid,Invalid,0,0
80187,3,190,122,711,0,0,0,0,Invalid,Invalid,Invalid,0,0
81993,3,190,121,711,0,0,0,0,Invalid,Invalid,Invalid,0,0
83993,3,190,122,700,0,0,0,0,Invalid,Invalid,Invalid,0,0
86503,3,190,122,700,0,0,0,0,Invalid,Invalid,Invalid,0,0
90178,3,190,123,700,0,0,0,0,Invalid,Invalid,Invalid,0,0
92092,3,190,123,700,0,0,0,0,Invalid,Invalid,Invalid,0,0
94698,3,190,123,700,0,0,0,0,Invalid,Invalid,Invalid,0,0
96698,3,190,122,700,0,0,0,0,Invalid,Invalid,Invalid,0,0
