Timestamp,SensorID,Temp,Humid,PH,EC,N,P,K,DateTime,Latitude,Longitude,Satellites,HDOP
10658,1,216,1000,452,107,10,14,36,Invalid,Invalid,Invalid,0,0
12658,1,215,1000,452,107,10,14,36,Invalid,Invalid,Invalid,0,0
15155,1,215,1000,447,107,10,14,36,Invalid,Invalid,Invalid,0,0
17155,1,215,1000,447,107,10,14,36,Invalid,Invalid,Invalid,0,0
19652,1,215,1000,442,107,10,14,36,Invalid,Invalid,Invalid,0,0
21652,1,215,1000,442,107,10,14,36,Invalid,Invalid,Invalid,0,0
66673,2,192,1000,900,14,1,1,2,Invalid,Invalid,Invalid,0,0
69178,2,192,1000,814,14,1,1,2,Invalid,Invalid,Invalid,0,0
71178,2,192,1000,828,14,1,1,2,Invalid,Invalid,Invalid,0,0
73671,2,192,1000,840,14,1,1,2,Invalid,Invalid,Invalid,0,0
75671,2,192,1000,850,14,1,1,2,Invalid,Invalid,Invalid,0,0
78180,2,192,1000,848,14,1,1,2,Invalid,Invalid,Invalid,0,0
80180,2,192,1000,858,14,1,1,2,Invalid,Invalid,Invalid,0,0
82675,2,192,1000,855,14,1,1,2,Invalid,Invalid,Invalid,0,0
104351,3,194,1000,700,11,0,1,2,Invalid,Invalid,Invalid,0,0
106303,3,194,1000,700,11,0,1,2,Invalid,Invalid,Invalid,0,0
108869,3,194,1000,700,11,0,1,2,Invalid,Invalid,Invalid,0,0
110869,3,194,1000,700,11,0,1,2,Invalid,Invalid,Invalid,0,0
113373,3,194,1000,700,11,0,1,2,Invalid,Invalid,Invalid,0,0
116978,3,194,1000,700,11,0,1,2,Invalid,Invalid,Invalid,0,0
118863,3,194,1000,700,11,0,1,2,Invalid,Invalid,Invalid,0,0
