Timestamp,SensorID,Temp,Humid,PH,EC,N,P,K,DateTime,Latitude,Longitude,Satellites,HDOP
17838,1,209,0,807,0,0,0,0,Invalid,Invalid,Invalid,0,0
19838,1,209,0,788,0,0,0,0,Invalid,Invalid,Invalid,0,0
22349,1,209,0,788,0,0,0,0,Invalid,Invalid,Invalid,0,0
25149,1,209,0,797,0,0,0,0,Invalid,Invalid,Invalid,0,0
26831,1,209,0,797,0,0,0,0,Invalid,Invalid,Invalid,0,0
28831,1,209,0,797,0,0,0,0,Invalid,Invalid,Invalid,0,0
31346,1,209,0,792,0,0,0,0,Invalid,Invalid,Invalid,0,0
34899,1,209,0,792,0,0,0,0,Invalid,Invalid,Invalid,0,0
110566,2,202,28,700,0,0,0,0,Invalid,Invalid,Invalid,0,0
115143,2,202,33,700,0,0,0,0,Invalid,Invalid,Invalid,0,0
117092,2,202,35,700,0,0,0,0,Invalid,Invalid,Invalid,0,0
119656,2,202,33,700,0,0,0,0,Invalid,Invalid,Invalid,0,0
121656,2,202,33,700,0,0,0,0,Invalid,Invalid,Invalid,0,0
161324,3,199,57,700,0,0,0,0,Invalid,Invalid,Invalid,0,0
163839,3,199,55,700,0,0,0,0,Invalid,Invalid,Invalid,0,0
166516,3,199,56,700,0,0,0,0,Invalid,Invalid,Invalid,0,0
168323,3,199,55,700,0,0,0,0,Invalid,Invalid,Invalid,0,0
170323,3,199,56,700,0,0,0,0,Invalid,Invalid,Invalid,0,0
