Timestamp,SensorID,Temp,Humid,PH,EC,N,P,K,DateTime,Latitude,Longitude,Satellites,HDOP
22521,1,192,451,523,226,15,21,53,Invalid,Invalid,Invalid,0,0
25186,1,192,451,506,226,15,21,53,Invalid,Invalid,Invalid,0,0
27186,1,192,451,506,226,15,21,53,Invalid,Invalid,Invalid,0,0
32349,1,192,450,491,226,15,21,53,Invalid,Invalid,Invalid,0,0
34158,1,192,451,491,226,15,21,53,Invalid,Invalid,Invalid,0,0
36158,1,192,452,480,226,15,21,53,Invalid,Invalid,Invalid,0,0
38670,1,192,452,480,226,15,21,53,Invalid,Invalid,Invalid,0,0
40670,1,191,452,469,226,15,21,53,Invalid,Invalid,Invalid,0,0
43167,1,191,452,469,226,15,21,53,Invalid,Invalid,Invalid,0,0
81875,2,159,384,700,117,8,11,23,Invalid,Invalid,Invalid,0,0
83875,2,159,382,700,118,8,11,23,Invalid,Invalid,Invalid,0,0
86386,2,159,383,700,117,8,11,23,Invalid,Invalid,Invalid,0,0
88386,2,159,384,700,117,8,11,23,Invalid,Invalid,Invalid,0,0
90886,2,159,383,700,117,8,11,23,Invalid,Invalid,Invalid,0,0
92886,2,159,383,700,116,8,11,23,Invalid,Invalid,Invalid,0,0
145167,3,160,389,739,76,5,7,15,Invalid,Invalid,Invalid,0,0
147167,3,160,388,739,76,5,7,15,Invalid,Invalid,Invalid,0,0
149669,3,162,389,746,76,5,7,15,Invalid,Invalid,Invalid,0,0
151669,3,162,388,746,76,5,7,15,Invalid,Invalid,Invalid,0,0
154185,3,162,388,746,77,5,7,15,Invalid,Invalid,Invalid,0,0
156875,3,162,388,746,77,5,7,15,Invalid,Invalid,Invalid,0,0
