Timestamp,SensorID,Temp,Humid,PH,EC,N,P,K,DateTime,Latitude,Longitude,Satellites,HDOP
36880,1,201,156,570,107,10,14,36,Invalid,Invalid,Invalid,0,0
38544,1,201,155,537,110,10,14,36,Invalid,Invalid,Invalid,0,0
40544,1,201,155,537,110,10,14,36,Invalid,Invalid,Invalid,0,0
43059,1,201,155,518,110,10,14,36,Invalid,Invalid,Invalid,0,0
45877,1,201,155,518,109,10,14,36,Invalid,Invalid,Invalid,0,0
47545,1,201,155,518,110,10,14,36,Invalid,Invalid,Invalid,0,0
71168,2,163,203,900,0,0,0,0,Invalid,Invalid,Invalid,0,0
73663,2,163,201,878,0,0,0,0,Invalid,Invalid,Invalid,0,0
101700,2,167,172,758,0,0,0,0,Invalid,Invalid,Invalid,0,0
106228,2,167,172,744,0,0,0,0,Invalid,Invalid,Invalid,0,0
107935,2,167,172,744,0,0,0,0,Invalid,Invalid,Invalid,0,0
109935,2,167,171,738,0,0,0,0,Invalid,Invalid,Invalid,0,0
112434,2,167,171,730,0,0,0,0,Invalid,Invalid,Invalid,0,0
148611,3,170,187,829,0,0,0,0,Invalid,Invalid,Invalid,0,0
150484,3,170,186,822,0,0,0,0,Invalid,Invalid,Invalid,0,0
155926,3,170,186,808,0,0,0,0,Invalid,Invalid,Invalid,0,0
157621,3,170,186,801,0,0,0,0,Invalid,Invalid,Invalid,0,0
160312,3,170,186,795,0,0,0,0,Invalid,Invalid,Invalid,0,0
162312,3,170,186,795,0,0,0,0,Invalid,Invalid,Invalid,0,0
