Timestamp,SensorID,Temp,Humid,PH,EC,N,P,K,DateTime,Latitude,Longitude,Satellites,HDOP
38913,1,164,471,556,217,14,19,50,Invalid,Invalid,Invalid,0,0
41414,1,165,465,556,219,14,20,50,Invalid,Invalid,Invalid,0,0
43414,1,164,461,438,220,14,20,50,Invalid,Invalid,Invalid,0,0
45913,1,165,458,438,221,14,20,50,Invalid,Invalid,Invalid,0,0
47913,1,165,455,438,222,14,20,50,Invalid,Invalid,Invalid,0,0
50412,1,165,450,457,222,14,20,50,Invalid,Invalid,Invalid,0,0
52412,1,165,446,457,223,15,20,51,Invalid,Invalid,Invalid,0,0
56814,1,165,441,452,219,14,20,50,Invalid,Invalid,Invalid,0,0
58487,1,165,439,452,225,15,20,51,Invalid,Invalid,Invalid,0,0
60487,1,165,437,447,224,15,20,51,Invalid,Invalid,Invalid,0,0
62984,1,166,434,447,225,15,20,51,Invalid,Invalid,Invalid,0,0
104633,2,166,366,796,92,6,9,18,Invalid,Invalid,Invalid,0,0
107129,2,166,365,758,92,6,9,18,Invalid,Invalid,Invalid,0,0
109129,2,166,365,736,93,6,9,18,Invalid,Invalid,Invalid,0,0
114582,2,166,364,700,92,6,9,18,Invalid,Invalid,Invalid,0,0
115298,2,166,363,700,92,6,9,18,Invalid,Invalid,Invalid,0,0
117086,2,166,364,700,92,6,9,18,Invalid,Invalid,Invalid,0,0
119086,2,166,363,700,91,6,9,18,Invalid,Invalid,Invalid,0,0
121622,2,166,364,700,92,6,9,18,Invalid,Invalid,Invalid,0,0
124290,2,166,361,689,91,6,9,18,Invalid,Invalid,Invalid,0,0
127856,2,166,363,686,91,6,9,18,Invalid,Invalid,Invalid,0,0
129671,2,166,363,684,92,6,9,18,Invalid,Invalid,Invalid,0,0
131671,2,166,363,684,92,6,9,18,Invalid,Invalid,Invalid,0,0
134173,2,166,362,684,91,6,9,18,Invalid,Invalid,Invalid,0,0
154851,3,165,327,900,21,1,2,4,Invalid,Invalid,Invalid,0,0
156851,3,165,328,855,21,1,2,4,Invalid,Invalid,Invalid,0,0
159363,3,165,329,803,21,1,2,4,Invalid,Invalid,Invalid,0,0
161363,3,165,329,785,21,1,2,4,Invalid,Invalid,Invalid,0,0
163866,3,165,331,781,21,1,2,4,Invalid,Invalid,Invalid,0,0
165866,3,165,333,809,21,1,2,4,Invalid,Invalid,Invalid,0,0
171031,3,165,334,809,21,1,2,4,Invalid,Invalid,Invalid,0,0
172840,3,165,331,809,21,1,2,4,Invalid,Invalid,Invalid,0,0
174840,3,165,332,802,21,1,2,4,Invalid,Invalid,Invalid,0,0
177341,3,165,334,802,21,1,2,4,Invalid,Invalid,Invalid,0,0
179341,3,165,334,795,21,1,2,4,Invalid,Invalid,Invalid,0,0
