Timestamp,SensorID,Temp,Humid,PH,EC,N,P,K,DateTime,Latitude,Longitude,Satellites,HDOP
37897,1,198,0,787,144,12,16,41,Invalid,Invalid,Invalid,0,0
40394,1,198,0,787,145,12,16,41,Invalid,Invalid,Invalid,0,0
42394,1,198,0,655,145,12,16,41,Invalid,Invalid,Invalid,0,0
47850,1,-1,0,655,143,12,16,41,Invalid,Invalid,Invalid,0,0
48564,1,199,0,538,144,12,16,41,Invalid,Invalid,Invalid,0,0
50368,1,199,0,538,145,12,16,41,Invalid,Invalid,Invalid,0,0
52368,1,199,0,538,146,12,16,41,Invalid,Invalid,Invalid,0,0
54861,1,199,0,481,146,12,16,41,Invalid,Invalid,Invalid,0,0
56861,1,200,0,481,146,12,16,41,Invalid,Invalid,Invalid,0,0
59391,1,200,0,451,145,12,16,41,Invalid,Invalid,Invalid,0,0
106244,2,185,138,900,12,0,1,2,Invalid,Invalid,Invalid,0,0
110843,2,185,138,900,12,0,1,2,Invalid,Invalid,Invalid,0,0
112713,2,185,138,900,12,0,1,2,Invalid,Invalid,Invalid,0,0
115354,2,185,138,900,12,0,1,2,Invalid,Invalid,Invalid,0,0
117354,2,185,139,900,12,0,1,2,Invalid,Invalid,Invalid,0,0
119860,2,185,138,900,12,0,1,2,Invalid,Invalid,Invalid,0,0
121860,2,185,139,900,12,0,1,2,Invalid,Invalid,Invalid,0,0
147896,3,186,142,900,12,0,1,2,Invalid,Invalid,Invalid,0,0
150572,3,186,142,900,12,0,1,2,Invalid,Invalid,Invalid,0,0
152572,3,186,144,900,12,0,1,2,Invalid,Invalid,Invalid,0,0
155067,3,186,142,900,13,0,1,2,Invalid,Invalid,Invalid,0,0
157067,3,186,141,900,13,0,1,2,Invalid,Invalid,Invalid,0,0
159579,3,186,142,900,13,0,1,2,Invalid,Invalid,Invalid,0,0
161579,3,186,142,900,12,0,1,2,Invalid,Invalid,Invalid,0,0
164076,3,186,139,900,10,0,1,2,Invalid,Invalid,Invalid,0,0
