EC,K,N,P,PH,SensorID,soil_type
233.0,53.0,15.0,21.0,639.0,1,86959
78.0,15.0,5.0,7.0,700.0,2,86959
37.0,7.0,2.0,3.0,735.0,3,86959
226.0,53.0,15.0,21.0,491.0,1,86961
117.0,23.0,8.0,11.0,700.0,2,86961
76.0,15.0,5.0,7.0,746.0,3,86961
235.0,53.0,15.0,21.0,536.0,1,86963
140.0,28.0,10.0,14.0,700.0,2,86963
128.0,25.0,9.0,12.0,700.0,3,86963
115.0,36.0,10.0,14.0,515.0,1,86964
9.0,1.0,0.0,0.0,700.0,2,86964
9.0,1.0,0.0,0.0,700.0,3,86964
132.0,39.0,11.0,15.0,539.0,1,86966
11.0,2.0,0.0,1.0,768.0,2,86966
11.0,2.0,0.0,1.0,734.0,3,86966
185.0,47.0,13.0,18.0,463.0,1,86967
39.0,7.0,2.0,3.0,700.0,2,86967
37.0,7.0,2.0,3.0,700.0,3,86967
113.0,36.0,10.0,14.0,452.0,1,86968
0.0,0.0,0.0,0.0,681.0,2,86968
0.0,0.0,0.0,0.0,779.5,3,86968
225.0,53.0,15.0,21.0,503.0,1,87000
97.0,19.0,6.0,9.0,689.0,2,87000
78.0,15.0,5.0,7.0,900.0,3,87000
112.0,36.0,10.0,14.0,479.0,1,87001
11.0,2.0,0.0,1.0,700.0,2,87001
9.0,1.0,0.0,0.0,700.0,3,87001
110.0,36.0,10.0,14.0,442.0,1,87002
12.0,2.0,0.0,1.0,700.0,2,87002
10.0,2.0,0.0,1.0,700.0,3,87002
111.0,36.0,10.0,14.0,559.0,1,87003
6.0,1.0,0.0,0.0,700.0,2,87003
0.0,0.0,0.0,0.0,700.0,3,87003
235.0,53.0,15.0,21.0,527.0,1,87004
90.0,18.0,6.0,9.0,700.0,2,87004
74.0,14.0,5.0,7.0,700.0,3,87004
221.0,51.0,15.0,20.0,455.5,1,87005
58.0,11.0,4.0,5.0,700.0,2,87005
67.0,13.0,4.0,6.0,719.0,3,87005
236.0,53.0,15.0,21.0,575.0,1,87006
123.0,24.0,8.0,12.0,700.0,2,87006
87.0,17.0,6.0,8.0,700.0,3,87006
