soil_type,SensorID,PH,N,P,K,EC
87002,Lab(Rating),,,,,
87002,Lab(Value),5.29,0.19,16.18,19.17,0.02
87002,4,,,,,
87002,phProbe,,,,,
87003,Lab(Rating),,,,,
87003,Lab(Value),6.58,0.06,4.65,2.31,0.01
87003,4,,,,,
87003,phProbe,,,,,
87004,Lab(Rating),,,,,
87004,Lab(Value),7.02,0.12,33.01,109.66,
87004,4,,,,,
87004,phProbe,,,,,
87005,Lab(Rating),,,,,
87005,Lab(Value),7.13,0.06,21.36,78.2,
87005,4,,,,,
87005,phProbe,,,,,
87006,Lab(Rating),,,,,
87006,Lab(Value),6.82,0.07,20.03,65.33,
87006,4,,,,,
87006,phProbe,,,,,
87021,Lab(Rating),,,,,
87021,Lab(Value),5.62,0.02,56.71,17.88,
87021,4,,,,,
87021,phProbe,,,,,
87022,Lab(Rating),,,,,
87022,Lab(Value),5.92,0.07,50.48,25.56,
87022,4,,,,,
87022,phProbe,,,,,
87041,Lab(Rating),,,,,
87041,Lab(Value),6.1,0.03,62.32,17.03,
87041,4,,,,,
87041,phProbe,,,,,
86959,Lab(Rating),,,,,
86959,Lab(Value),7.2,0.16,81.46,34.41,
86959,4,,,,,
86959,phProbe,,,,,
86961,Lab(Rating),,,,,
86961,Lab(Value),6.07,0.08,7.92,116.58,
86961,4,,,,,
86961,phProbe,,,,,
86963,Lab(Rating),,,,,
86963,Lab(Value),5.65,0.24,24.13,177.36,
86963,4,,,,,
86963,phProbe,,,,,
86964,Lab(Rating),,,,,
86964,Lab(Value),5.79,0.1,16.7,40.63,
86964,4,,,,,
86964,phProbe,,,,,
86966,Lab(Rating),,,,,
86966,Lab(Value),5.66,0.14,2.08,50.96,
86966,4,,,,,
86966,phProbe,,,,,
86967,Lab(Rating),,,,,
86967,Lab(Value),6.12,0.14,1.24,130.09,
86967,4,,,,,
86967,phProbe,,,,,
86968,Lab(Rating),,,,,
86968,Lab(Value),4.5,0.09,0.39,12.84,
86968,4,,,,,
86968,phProbe,,,,,
86992,Lab(Rating),,,,,
86992,Lab(Value),5.58,0.27,,,
86992,4,,,,,
86992,phProbe,,,,,
86993,Lab(Rating),,,,,
86993,Lab(Value),6.03,0.01,,,
86993,4,,,,,
86993,phProbe,,,,,
86991,Lab(Rating),,,,,
86991,Lab(Value),4.58,0.1,,,
86991,4,,,,,
86991,phProbe,,,,,
87000,Lab(Rating),,,,,
87000,Lab(Value),5.45,0.16,0.49,49.51,0.02
87000,4,,,,,
87000,phProbe,,,,,
87001,Lab(Rating),,,,,
87001,Lab(Value),6.07,0.04,61.31,20.31,0.01
87001,4,,,,,
87001,phProbe,,,,,
