soil_type,SensorID,PH,N,P,K,EC
87002,Lab(Rating),L,M,M,vL,vL
87002,Lab(Value),5.29,0.19,16.18,19.17,0.02
87003,Lab(Rating),H,vL,vL,vL,vL
87003,Lab(Value),6.58,0.06,4.65,2.31,0.01
87004,Lab(Rating),H,L,H,M,
87004,Lab(Value),7.02,0.12,33.01,109.66,
87005,Lab(Rating),H,vL,M,L,
87005,Lab(Value),7.13,0.06,21.36,78.2,
87006,Lab(Rating),H,vL,M,L,
87006,Lab(Value),6.82,0.07,20.03,65.33,
87021,Lab(Rating),M,vL,H,vL,
87021,Lab(Value),5.62,0.02,56.71,17.88,
87022,Lab(Rating),M,vL,H,vL,
87022,Lab(Value),5.92,0.07,50.48,25.56,
87041,Lab(Rating),M,vL,H,vL,
87041,Lab(Value),6.10,0.03,62.32,17.03,
86959,Lab(Rating),H,L,H,vL,
86959,Lab(Value),7.20,0.16,81.46,34.41,
86961,Lab(Rating),M,vL,L,M,
86961,Lab(Value),6.07,0.08,7.92,116.58,
86963,Lab(Rating),M,M,M,M,
86963,Lab(Value),5.65,0.24,24.13,177.36,
86964,Lab(Rating),M,L,M,L,
86964,Lab(Value),5.79,0.10,16.70,40.63,
86966,Lab(Rating),M,L,vL,L,
86966,Lab(Value),5.66,0.14,2.08,50.96,
86967,Lab(Rating),M,L,vL,M,
86967,Lab(Value),6.12,0.14,1.24,130.09,
86968,Lab(Rating),L,vL,vL,vL,
86968,Lab(Value),4.50,0.09,0.39,12.84,
86992,Lab(Rating),M,M,,,
86992,Lab(Value),5.58,0.27,,,
86993,Lab(Rating),M,vL,,,
86993,Lab(Value),6.03,0.01,,,
86991,Lab(Rating),L,L,,,
86991,Lab(Value),4.58,0.10,,,
87000,Lab(Rating),L,L,vL,L,vL
87000,Lab(Value),5.45,0.16,0.49,49.51,0.02
87001,Lab(Rating),M,vL,H,vL,vL
87001,Lab(Value),6.07,0.04,61.31,20.31,0.01
