soil_type,SensorID,PH,N,P,K,EC
87002,4,6.47,0,1,2,11
87002,phProbe,5.27,,,,
87003,4,6.7,0,0,0,0
87003,phProbe,6.54,,,,
87004,4,6.68,2,3,7,37
87004,phProbe,,,,,
87005,4,6.8,1,2,4,22
87005,phProbe,,,,,
87006,4,6.78,3,4,8,42
87006,phProbe,7.06,,,,
87021,4,6.63,0,0,0,0
87021,phProbe,5.66,,,,
87022,4,6.6,0,0,0,0
87022,phProbe,,,,,
87041,4,6.66,0,0,0,0
87041,phProbe,5.78,,,,
86959,4,6.71,4,5,11,55
86959,phProbe,6.94,,,,
86961,4,6.62,2,4,8,39
86961,phProbe,,,,,
86963,4,6.7,4,6,12,62
86963,phProbe,,,,,
86964,4,6.6,0,0,1,0
86964,phProbe,,,,,
86966,4,6.59,0,0,0,0
86966,phProbe,,,,,
86967,4,6.66,1,1,3,15
86967,phProbe,,,,,
86968,4,6.49,0,0,0,0
86968,phProbe,,,,,
86992,4,,,,,
86992,phProbe,,,,,
86993,4,,,,,
86993,phProbe,,,,,
86991,4,,,,,
86991,phProbe,,,,,
87000,4,6.74,7,10,20,98
87000,phProbe,5.67,,,,
87001,4,6.6,0,0,1,6
87001,phProbe,5.73,,,,
87002_flood,4,6.48,0,1,2,11
87002_flood,phProbe,,,,,
87003_flood,4,6.5,0,0,0,0
87003_flood,phProbe,,,,,
87004_flood,4,6.73,7,10,20,101
87004_flood,phProbe,,,,,
87005_flood,4,6.54,2,3,6,31
87005_flood,phProbe,,,,,
87006_flood,4,6.73,7,9,20,100
87006_flood,phProbe,,,,,
87021_flood,4,6.49,0,0,0,0
87021_flood,phProbe,,,,,
87022_flood,4,6.42,0,0,1,6
87022_flood,phProbe,,,,,
87041_flood,4,6.14,0,0,0,0
87041_flood,phProbe,,,,,
86959_flood,4,6.76,4,6,13,68
86959_flood,phProbe,,,,,
86961_flood,4,6.57,9,13,27,138
86961_flood,phProbe,,,,,
86963_flood,4,6.56,6,8,17,85
86963_flood,phProbe,,,,,
86964_flood,4,6.57,0,0,1,9
86964_flood,phProbe,,,,,
86966_flood,4,6.52,0,0,1,6
86966_flood,phProbe,,,,,
86967_flood,4,6.58,2,2,5,29
86967_flood,phProbe,,,,,
86968_flood,4,6.38,0,0,1,6
86968_flood,phProbe,,,,,
86992_flood,4,,,,,
86992_flood,phProbe,,,,,
86993_flood,4,,,,,
86993_flood,phProbe,,,,,
86991_flood,4,,,,,
86991_flood,phProbe,,,,,
87000_flood,4,6.62,8,12,24,123
87000_flood,phProbe,,,,,
87001_flood,4,6.48,0,0,1,7
87001_flood,phProbe,,,,,
